 6.91400000e-07  4.00000000e+02  6.91400000e-07  6.00000000e+02  6.91400000e-07 -2.00000000e+04 
 6.96400000e-07  4.00000000e+02  6.96400000e-07  6.00000000e+02  6.96400000e-07 -2.00000000e+04 
 7.01400000e-07  4.00000000e+02  7.01400000e-07  6.00000000e+02  7.01400000e-07 -2.00000000e+04 
 7.06400000e-07  4.00000000e+02  7.06400000e-07  6.00000000e+02  7.06400000e-07 -2.00000000e+04 
 7.11400000e-07  4.00000000e+02  7.11400000e-07  6.00000000e+02  7.11400000e-07 -2.00000000e+04 
 7.16400000e-07  4.00000000e+02  7.16400000e-07  6.00000000e+02  7.16400000e-07 -2.00000000e+04 
 7.21400000e-07  4.00000000e+02  7.21400000e-07  6.00000000e+02  7.21400000e-07 -2.00000000e+04 
 7.26400000e-07  4.00000000e+02  7.26400000e-07  6.00000000e+02  7.26400000e-07 -2.00000000e+04 
 7.31400000e-07  4.00000000e+02  7.31400000e-07  6.00000000e+02  7.31400000e-07 -2.00000000e+04 
 7.36400000e-07  4.00000000e+02  7.36400000e-07  6.00000000e+02  7.36400000e-07 -2.00000000e+04 
 7.41400000e-07  4.00000000e+02  7.41400000e-07  6.00000000e+02  7.41400000e-07 -2.00000000e+04 
 7.46400000e-07  4.00000000e+02  7.46400000e-07  6.00000000e+02  7.46400000e-07 -2.00000000e+04 
 7.51400000e-07  4.00000000e+02  7.51400000e-07  6.00000000e+02  7.51400000e-07 -2.00000000e+04 
 7.56400000e-07  4.00000000e+02  7.56400000e-07  6.00000000e+02  7.56400000e-07 -2.00000000e+04 
 7.61400000e-07  4.00000000e+02  7.61400000e-07  6.00000000e+02  7.61400000e-07 -2.00000000e+04 
 7.66400000e-07  4.00000000e+02  7.66400000e-07  6.00000000e+02  7.66400000e-07 -2.00000000e+04 
 7.71400000e-07  4.00000000e+02  7.71400000e-07  6.00000000e+02  7.71400000e-07 -2.00000000e+04 
 7.76400000e-07  4.00000000e+02  7.76400000e-07  6.00000000e+02  7.76400000e-07 -2.00000000e+04 
 7.81400000e-07  4.00000000e+02  7.81400000e-07  6.00000000e+02  7.81400000e-07 -2.00000000e+04 
 7.86400000e-07  4.00000000e+02  7.86400000e-07  6.00000000e+02  7.86400000e-07 -2.00000000e+04 
 7.91400000e-07  4.00000000e+02  7.91400000e-07  6.00000000e+02  7.91400000e-07 -2.00000000e+04 
 7.96400000e-07  4.00000000e+02  7.96400000e-07  6.00000000e+02  7.96400000e-07 -2.00000000e+04 
 8.01400000e-07  4.00000000e+02  8.01400000e-07  6.00000000e+02  8.01400000e-07 -2.00000000e+04 
 8.06400000e-07  4.00000000e+02  8.06400000e-07  6.00000000e+02  8.06400000e-07 -2.00000000e+04 
 8.11400000e-07  4.00000000e+02  8.11400000e-07  6.00000000e+02  8.11400000e-07 -2.00000000e+04 
 8.16400000e-07  4.00000000e+02  8.16400000e-07  6.00000000e+02  8.16400000e-07 -2.00000000e+04 
 8.21400000e-07  4.00000000e+02  8.21400000e-07  6.00000000e+02  8.21400000e-07 -2.00000000e+04 
 8.26400000e-07  4.00000000e+02  8.26400000e-07  6.00000000e+02  8.26400000e-07 -2.00000000e+04 
 8.31400000e-07  4.00000000e+02  8.31400000e-07  6.00000000e+02  8.31400000e-07 -2.00000000e+04 
 8.36400000e-07  4.00000000e+02  8.36400000e-07  6.00000000e+02  8.36400000e-07 -2.00000000e+04 
 8.41400000e-07  4.00000000e+02  8.41400000e-07  6.00000000e+02  8.41400000e-07 -2.00000000e+04 
 8.46400000e-07  4.00000000e+02  8.46400000e-07  6.00000000e+02  8.46400000e-07 -2.00000000e+04 
 8.51400000e-07  4.00000000e+02  8.51400000e-07  6.00000000e+02  8.51400000e-07 -2.00000000e+04 
 8.56400000e-07  4.00000000e+02  8.56400000e-07  6.00000000e+02  8.56400000e-07 -2.00000000e+04 
 8.61400000e-07  4.00000000e+02  8.61400000e-07  6.00000000e+02  8.61400000e-07 -2.00000000e+04 
 8.66400000e-07  4.00000000e+02  8.66400000e-07  6.00000000e+02  8.66400000e-07 -2.00000000e+04 
 8.71400000e-07  4.00000000e+02  8.71400000e-07  6.00000000e+02  8.71400000e-07 -2.00000000e+04 
 8.76400000e-07  4.00000000e+02  8.76400000e-07  6.00000000e+02  8.76400000e-07 -2.00000000e+04 
 8.81400000e-07  4.00000000e+02  8.81400000e-07  6.00000000e+02  8.81400000e-07 -2.00000000e+04 
 8.86400000e-07  4.00000000e+02  8.86400000e-07  6.00000000e+02  8.86400000e-07 -2.00000000e+04 
 8.91400000e-07  4.00000000e+02  8.91400000e-07  6.00000000e+02  8.91400000e-07 -2.00000000e+04 
